TITLE="CL and CD Data"
VARIABLES="AoA","C_L","C_D"
ZONE T="Re=1E7 (JavaFoil)", I=23, F=POINT
-10.0 -0.823  0.01726
 -9.0 -0.771  0.01535
 -8.0 -0.699  0.01380
 -7.0 -0.611  0.01238
 -6.0 -0.511  0.01100
 -5.0 -0.402  0.00998
 -4.0 -0.288  0.00901
 -3.0 -0.175  0.00461
 -2.0 -0.050  0.00421
 -1.0  0.074  0.00427
  0.0  0.199  0.00528
  1.0  0.325  0.00607
  2.0  0.450  0.00679
  3.0  0.574  0.00753
  4.0  0.696  0.00844
  5.0  0.817  0.00917
  6.0  0.935  0.01021
  7.0  1.046  0.01124
  8.0  1.146  0.01249
  9.0  1.228  0.01444
 10.0  1.278  0.01308
 11.0  1.309  0.01420
 12.0  1.322  0.01837
